player_id,name,position,birthday,college
0,Patrick Johnson,,,
1,Cooper Kupp,WR,1993-06-15,Eastern Washington
2,Santonio Holmes,,,
3,Carwell Gardner,,1966-11-27,Louisville
4,Joseph Addai,,1983-05-03,LSU
5,Steve Young,,1961-10-11,Brigham Young
6,Elvis Grbac,,,
7,Tyler Boyd,WR,1994-11-15,Pittsburgh
8,Greg Jennings,,1983-09-21,Western Michigan
9,Jay Ajayi,RB,1993-06-15,Boise State
10,Steve Tasker,,1962-04-10,Northwestern
11,Chris Godwin,WR,1996-02-27,Penn State
12,Brandon Stokley,,,
13,Anquan Boldin,WR,1980-10-03,Florida State
14,Demarcus Robinson,WR,1994-09-21,Florida
15,Keith McKeller,,,
16,Ed McCaffrey,,1968-08-17,Stanford
17,Isaac Byrd,,,
18,Eric Bieniemy,,,
19,Marques Colston,,,
20,Joe Haeg,OT,1993-03-11,North Dakota State
21,William Henderson,,,
22,Chris Sanders,,1973-04-22,Texas A&M
23,Vonta Leach,,1981-11-06,East Carolina
24,Corey Clement,RB,1994-11-02,Wisconsin
25,Darrell Jackson,,1978-12-06,Florida
26,Emmitt Smith,RB,,
27,Patrick DiMarco,RB,1989-04-30,South Carolina
28,Lionel Manuel,,1962-04-13,U. of Pacific
29,Cam Akers,RB,,
30,Jerry Porter,,,
31,Ray Rice,RB,1987-01-22,Rutgers
32,Michael Pittman,WR,1975-08-14,Fresno State
33,Dedric Ward,,1974-09-29,Northern Iowa
34,Qadry Ismail,,1970-11-08,Syracuse
35,Marshall Faulk,,1973-02-26,San Diego State
36,Priest Holmes,,,
37,Fozzy Whittaker,RB,1989-02-02,Texas
38,Terrell Davis,RB,1972-10-28,Georgia
39,Mark Ingram,RB,1989-12-21,Alabama
40,Ernie Mills,,,
41,Keith Jackson,,1965-04-19,Oklahoma
42,Brent Jones,,,
43,Ben Patrick,,1984-08-23,Delaware
44,Nick Foles,QB,1989-01-20,Arizona
45,Raheem Mostert,RB,1992-04-09,Purdue
46,Todd Gurley,RB,1994-08-03,Georgia
47,Brandon Jacobs,,1982-07-06,Southern Illinois
48,Marvin Harrison,,1972-08-25,Syracuse
49,Reggie Wayne,,1978-11-17,Miami (Fla.)
50,O.J. Santiago,,1974-03-04,Kent State
51,Art Monk,,,
52,Stanford Jennings,,1962-03-12,Furman
53,Ja'Marr Chase,WR,,
54,Carey Davis,,1981-03-27,Illinois
55,Golden Tate,WR,1988-08-02,Notre Dame
56,David Tyree,,,
57,Jamal Anderson,,1972-09-30,Utah
58,Chris Matthews,WR,1989-10-06,Kentucky
59,Ricky Ervins,,1968-12-07,USC
60,Austin Hooper,TE,1994-10-29,Stanford
61,Chris Hogan,WR,1988-10-24,Monmouth (N.J.)
62,Andre Reed,,1964-01-29,Kutztown
63,Phillip Dorsett,WR,1993-01-05,Miami (Fla.)
64,Donte' Stallworth,,,
65,Mike Bell,,1983-04-23,Arizona
66,Yancey Thigpen,,1969-08-15,Winston-Salem State
67,Edgerrin James,,1978-08-01,Miami (Fla.)
68,Bryan Fletcher,,1979-03-23,UCLA
69,Odell Beckham Jr.,WR,,
70,Corey Brown,WR,1991-12-16,Ohio State
71,Rickey Dudley,,,
72,Orson Mobley,,,
73,Jeff Hostetler,,,
74,Mark Bruener,,,
75,Sammy Winder,,,
76,Robert Turbin,RB,1989-12-02,Utah State
77,Hakeem Nicks,,1988-01-14,North Carolina
78,Maurice Carthon,,1961-04-24,Arkansas State
79,Tom Brady,QB,1977-08-03,Michigan
80,John Frank,,1962-04-17,Ohio State
81,Devery Henderson,,,
82,Kevin Faulk,,1976-06-05,LSU
83,Torrey Smith,WR,1989-01-26,Maryland
84,Aaron Stecker,,,
85,Jermaine Kearse,WR,1990-02-06,Washington
86,James Brooks,,,
87,Josh Parry,,1978-04-05,San Jose State
88,Joe Montgomery,,,
89,Kyle Juszczyk,FB,1991-04-23,Harvard
90,Mike Wilson,,,
91,Zach Miller,TE,1984-10-04,Nebraska-Omaha
92,Kelvin Martin,,1965-05-14,Boston College
93,Todd Pinkston,,1977-04-23,Southern Mississippi
94,Bryan Walters,,,
95,Doug Jolley,,,
96,Kerry Collins,,,
97,Duane Young,,1968-05-29,Michigan State
98,Matthew Stafford,QB,1988-02-07,Georgia
99,Aaron Rodgers,QB,1983-12-02,California
100,Jamie Williams,,,
101,DeShaun Foster,,1980-01-10,UCLA
102,Steve McNair,QB,,
103,Wes Welker,,1981-05-01,Texas Tech
104,Doug Williams,,,
105,Rashied Davis,,1979-07-24,San Jose State
106,John Elway,QB,1960-06-28,Stanford
107,Isaac Redman,,1984-11-10,Bowie State
108,Shaun Alexander,,1977-08-30,Alabama
109,Vernon Davis,TE,1984-01-31,Maryland
110,Tom Tupa,,,
111,Ricky Sanders,,1962-08-30,Texas State
112,Bubby Brister,,,
113,Tim Brown,,,
114,Ben Utecht,,1981-06-30,Minnesota
115,Al Edwards,,1967-05-18,Northwestern State-Louisiana
116,Charlie Garner,,1972-02-13,Tennessee
117,Marshawn Lynch,RB,1986-04-22,California
118,Curtis Martin,,1973-05-01,Pittsburgh
119,Vaughn Hebron,,,
120,Roger Craig,,,
121,Tony Banks,,1973-04-05,Michigan State
122,Knowshon Moreno,,,
123,Tony Galbreath,,1954-01-29,Missouri
124,Howard Cross,,,
125,Aaron Moorehead,,,
126,Bernie Kosar,,1963-11-25,Miami (Fla.)
127,Ben Watson,,,
